rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,SUZLON,91.65,0.9165,2023-12-07,36.8379,0.8583,0.9239,-0.117,0.4088,1.0,0.0,0.5417,0.0,0.5417,43.96,67.09,90.0,Mid Cap
2,BULL,ATGL,90.32,0.9032,2023-12-07,51.1677,11.6157,1.0,0.367,2.3703,1.0,0.0,0.9333,0.0,0.9333,40.21,61.35,82.33,Mid Cap
3,BULL,APARINDS,87.21,0.8721,2023-12-07,17.1432,1.609,0.8097,-0.0137,0.4776,1.0,0.0,0.5417,0.0,0.5417,25.84,39.68,52.82,Mid Cap
4,BULL,ABCAPITAL,86.87,0.8687,2023-12-07,20.6551,-1.602,0.8795,-0.1203,1.6091,1.0,0.0,0.0,0.0,0.0,25.18,38.69,51.47,Mid Cap
5,BULL,POLICYBZR,84.77,0.8477,2023-12-07,43.3873,4.1319,0.9973,0.0812,0.562,1.0,0.0,0.4,0.0,0.4,20.06,31.07,41.09,Mid Cap
6,BULL,HEROMOTOCO,84.44,0.8444,2023-12-07,46.2992,8.3206,0.9432,0.0897,1.1347,1.0,0.0,0.5333,0.0,0.5333,19.09,29.59,39.15,Mid Cap
7,BULL,PAYTM,83.08,0.8308,2023-12-07,19.8845,-4.1606,0.9757,-0.2177,1.3489,1.0,0.0,0.0,0.0,0.0,17.29,26.89,35.53,Mid Cap
8,BULL,IPCALAB,82.92,0.8292,2023-12-07,36.7115,4.9387,0.9927,0.0501,0.2709,1.0,0.0,0.0,0.0,0.0,17.1,26.61,35.14,Mid Cap
9,BULL,NAM-INDIA,82.82,0.8282,2023-12-07,38.9053,3.0971,0.985,0.023,0.9075,1.0,0.0,0.9333,0.0,0.9333,16.92,26.33,34.77,Mid Cap
10,BULL,LUPIN,80.48,0.8048,2023-12-07,24.8375,2.1026,0.9582,-0.0209,0.3719,1.0,0.0,0.9333,0.0,0.9333,15.17,23.66,31.22,Mid Cap
